,inputs,targets
24,"Eq(185*f(x) - 314*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(157 - 4*sqrt(1529))) + C2*exp(x*(4*sqrt(1529) + 157)))"
25,"Eq(365*f(x) - 683*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(683 - sqrt(465029))/2) + C2*exp(x*(sqrt(465029) + 683)/2))"
26,"Eq(49*f(x) - 231*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(7*x*(33 - sqrt(1085))/2) + C2*exp(7*x*(sqrt(1085) + 33)/2))"
27,"Eq(133*f(x) - 924*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(462 - sqrt(213311))) + C2*exp(x*(sqrt(213311) + 462)))"
28,"Eq(55*f(x) - 152*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(76 - sqrt(5721))) + C2*exp(x*(sqrt(5721) + 76)))"
29,"Eq(241*f(x) - 853*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(853 - sqrt(726645))/2) + C2*exp(x*(sqrt(726645) + 853)/2))"
30,"Eq(366*f(x) - 698*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(349 - sqrt(121435))) + C2*exp(x*(sqrt(121435) + 349)))"
31,"Eq(16*f(x) - 620*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(155 - 3*sqrt(2669))) + C2*exp(2*x*(3*sqrt(2669) + 155)))"
32,"Eq(361*f(x) - 483*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(483 - sqrt(231845))/2) + C2*exp(x*(sqrt(231845) + 483)/2))"
33,"Eq(116*f(x) - 132*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(33 - 2*sqrt(265))) + C2*exp(2*x*(2*sqrt(265) + 33)))"
34,"Eq(7*f(x) - 608*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(304 - sqrt(92409))) + C2*exp(x*(sqrt(92409) + 304)))"
35,"Eq(254*f(x) - 957*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(957 - sqrt(914833))/2) + C2*exp(x*(sqrt(914833) + 957)/2))"
36,"Eq(311*f(x) - 807*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(807 - sqrt(650005))/2) + C2*exp(x*(sqrt(650005) + 807)/2))"
37,"Eq(271*f(x) - 347*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(347 - 5*sqrt(4773))/2) + C2*exp(x*(5*sqrt(4773) + 347)/2))"
38,"Eq(337*f(x) - 346*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(173 - 6*sqrt(822))) + C2*exp(x*(6*sqrt(822) + 173)))"
39,"Eq(311*f(x) - 748*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(374 - sqrt(139565))) + C2*exp(x*(sqrt(139565) + 374)))"
40,"Eq(162*f(x) - 203*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(203 - sqrt(40561))/2) + C2*exp(x*(sqrt(40561) + 203)/2))"
41,"Eq(400*f(x) - 656*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(4*x*(82 - sqrt(6699))) + C2*exp(4*x*(sqrt(6699) + 82)))"
42,"Eq(339*f(x) - 118*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(59 - sqrt(3142))) + C2*exp(x*(sqrt(3142) + 59)))"
43,"Eq(232*f(x) - 203*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(203 - sqrt(40281))/2) + C2*exp(x*(sqrt(40281) + 203)/2))"
44,"Eq(14*f(x) - 945*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(945 - sqrt(892969))/2) + C2*exp(x*(sqrt(892969) + 945)/2))"
45,"Eq(339*f(x) - 362*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(181 - sqrt(32422))) + C2*exp(x*(sqrt(32422) + 181)))"
46,"Eq(205*f(x) - 679*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(679 - sqrt(460221))/2) + C2*exp(x*(sqrt(460221) + 679)/2))"
47,"Eq(245*f(x) - 922*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(461 - 2*sqrt(53069))) + C2*exp(x*(2*sqrt(53069) + 461)))"
48,"Eq(369*f(x) - 118*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(59 - 2*sqrt(778))) + C2*exp(x*(2*sqrt(778) + 59)))"
49,"Eq(14*f(x) - 458*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(229 - sqrt(52427))) + C2*exp(x*(sqrt(52427) + 229)))"
50,"Eq(135*f(x) - 9*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), (C1*sin(3*sqrt(51)*x/2) + C2*cos(3*sqrt(51)*x/2))*exp(9*x/2))"
51,"Eq(260*f(x) - 313*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(313 - sqrt(96929))/2) + C2*exp(x*(sqrt(96929) + 313)/2))"
52,"Eq(304*f(x) - 505*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(505 - 3*sqrt(28201))/2) + C2*exp(x*(3*sqrt(28201) + 505)/2))"
53,"Eq(370*f(x) - 177*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(177 - sqrt(29849))/2) + C2*exp(x*(sqrt(29849) + 177)/2))"
54,"Eq(288*f(x) - 99*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), (C1 + C2*exp(93*x))*exp(3*x))"
55,"Eq(262*f(x) - 648*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(324 - sqrt(104714))) + C2*exp(x*(sqrt(104714) + 324)))"
56,"Eq(181*f(x) - 601*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(601 - 39*sqrt(237))/2) + C2*exp(x*(39*sqrt(237) + 601)/2))"
57,"Eq(111*f(x) - 816*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(408 - 71*sqrt(33))) + C2*exp(x*(71*sqrt(33) + 408)))"
58,"Eq(293*f(x) - 921*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(921 - sqrt(847069))/2) + C2*exp(x*(sqrt(847069) + 921)/2))"
59,"Eq(107*f(x) - 906*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(453 - sqrt(205102))) + C2*exp(x*(sqrt(205102) + 453)))"
60,"Eq(200*f(x) - 722*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(361 - sqrt(130121))) + C2*exp(x*(sqrt(130121) + 361)))"
61,"Eq(275*f(x) - 752*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(376 - sqrt(141101))) + C2*exp(x*(sqrt(141101) + 376)))"
62,"Eq(92*f(x) - 573*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(573 - sqrt(327961))/2) + C2*exp(x*(sqrt(327961) + 573)/2))"
63,"Eq(312*f(x) - 1000*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(250 - 23*sqrt(118))) + C2*exp(2*x*(23*sqrt(118) + 250)))"
64,"Eq(287*f(x) - 100*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(50 - sqrt(2213))) + C2*exp(x*(sqrt(2213) + 50)))"
65,"Eq(24*f(x) - 844*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(211 - sqrt(44515))) + C2*exp(2*x*(sqrt(44515) + 211)))"
66,"Eq(256*f(x) - 661*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(661 - 3*sqrt(48433))/2) + C2*exp(x*(3*sqrt(48433) + 661)/2))"
67,"Eq(28*f(x) - 417*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(417 - sqrt(173777))/2) + C2*exp(x*(sqrt(173777) + 417)/2))"
68,"Eq(328*f(x) - 196*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(2*x*(49 - sqrt(2319))) + C2*exp(2*x*(sqrt(2319) + 49)))"
69,"Eq(174*f(x) - 340*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(170 - sqrt(28726))) + C2*exp(x*(sqrt(28726) + 170)))"
70,"Eq(341*f(x) - 725*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(725 - sqrt(524261))/2) + C2*exp(x*(sqrt(524261) + 725)/2))"
71,"Eq(191*f(x) - 389*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(389 - sqrt(150557))/2) + C2*exp(x*(sqrt(150557) + 389)/2))"
72,"Eq(79*f(x) - 199*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(199 - 9*sqrt(485))/2) + C2*exp(x*(9*sqrt(485) + 199)/2))"
73,"Eq(158*f(x) - 706*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(353 - sqrt(124451))) + C2*exp(x*(sqrt(124451) + 353)))"
74,"Eq(380*f(x) - 594*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(297 - sqrt(87829))) + C2*exp(x*(sqrt(87829) + 297)))"
75,"Eq(297*f(x) - 213*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(71 - sqrt(4909))/2) + C2*exp(3*x*(sqrt(4909) + 71)/2))"
76,"Eq(298*f(x) - 424*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(212 - sqrt(44646))) + C2*exp(x*(sqrt(44646) + 212)))"
77,"Eq(278*f(x) - 319*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(319 - sqrt(100649))/2) + C2*exp(x*(sqrt(100649) + 319)/2))"
78,"Eq(131*f(x) - 884*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(442 - sqrt(195233))) + C2*exp(x*(sqrt(195233) + 442)))"
79,"Eq(164*f(x) - 117*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(117 - sqrt(13033))/2) + C2*exp(x*(sqrt(13033) + 117)/2))"
80,"Eq(283*f(x) - 174*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(87 - sqrt(7286))) + C2*exp(x*(sqrt(7286) + 87)))"
81,"Eq(162*f(x) - 217*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(217 - sqrt(46441))/2) + C2*exp(x*(sqrt(46441) + 217)/2))"
82,"Eq(2*f(x) - 339*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(339 - sqrt(114913))/2) + C2*exp(x*(sqrt(114913) + 339)/2))"
83,"Eq(165*f(x) - 61*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(61 - sqrt(3061))/2) + C2*exp(x*(sqrt(3061) + 61)/2))"
84,"Eq(212*f(x) - 103*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(103 - sqrt(9761))/2) + C2*exp(x*(sqrt(9761) + 103)/2))"
85,"Eq(216*f(x) - 735*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(245 - sqrt(59929))/2) + C2*exp(3*x*(sqrt(59929) + 245)/2))"
86,"Eq(25*f(x) - 696*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(348 - 7*sqrt(2471))) + C2*exp(x*(7*sqrt(2471) + 348)))"
87,"Eq(34*f(x) - 614*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(307 - sqrt(94215))) + C2*exp(x*(sqrt(94215) + 307)))"
88,"Eq(301*f(x) - 948*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(474 - 25*sqrt(359))) + C2*exp(x*(25*sqrt(359) + 474)))"
89,"Eq(f(x) - 589*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(589 - sqrt(346917))/2) + C2*exp(x*(sqrt(346917) + 589)/2))"
90,"Eq(134*f(x) - 40*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(20 - sqrt(266))) + C2*exp(x*(sqrt(266) + 20)))"
91,"Eq(227*f(x) - 575*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(575 - sqrt(329717))/2) + C2*exp(x*(sqrt(329717) + 575)/2))"
92,"Eq(396*f(x) - 657*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(219 - sqrt(47785))/2) + C2*exp(3*x*(sqrt(47785) + 219)/2))"
93,"Eq(92*f(x) - 322*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(161 - sqrt(25829))) + C2*exp(x*(sqrt(25829) + 161)))"
94,"Eq(148*f(x) - 33*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(33 - sqrt(497))/2) + C2*exp(x*(sqrt(497) + 33)/2))"
95,"Eq(16*f(x) - 190*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(95 - 3*sqrt(1001))) + C2*exp(x*(3*sqrt(1001) + 95)))"
96,"Eq(72*f(x) - 265*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(265 - sqrt(69937))/2) + C2*exp(x*(sqrt(69937) + 265)/2))"
97,"Eq(60*f(x) - 102*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(51 - 11*sqrt(21))) + C2*exp(x*(11*sqrt(21) + 51)))"
98,"Eq(91*f(x) - 128*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(64 - 3*sqrt(445))) + C2*exp(x*(3*sqrt(445) + 64)))"
99,"Eq(168*f(x) - 55*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(55 - sqrt(2353))/2) + C2*exp(x*(sqrt(2353) + 55)/2))"
100,"Eq(58*f(x) - 415*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(415 - sqrt(171993))/2) + C2*exp(x*(sqrt(171993) + 415)/2))"
101,"Eq(381*f(x) - 366*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(183 - 2*sqrt(8277))) + C2*exp(x*(2*sqrt(8277) + 183)))"
102,"Eq(168*f(x) - 466*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(233 - sqrt(54121))) + C2*exp(x*(sqrt(54121) + 233)))"
103,"Eq(289*f(x) - 522*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(261 - 2*sqrt(16958))) + C2*exp(x*(2*sqrt(16958) + 261)))"
104,"Eq(316*f(x) - 937*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(937 - sqrt(876705))/2) + C2*exp(x*(sqrt(876705) + 937)/2))"
105,"Eq(89*f(x) - 196*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(98 - sqrt(9515))) + C2*exp(x*(sqrt(9515) + 98)))"
106,"Eq(234*f(x) - 879*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(293 - sqrt(85745))/2) + C2*exp(3*x*(sqrt(85745) + 293)/2))"
107,"Eq(71*f(x) - 924*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(462 - sqrt(213373))) + C2*exp(x*(sqrt(213373) + 462)))"
108,"Eq(226*f(x) - 292*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(146 - sqrt(21090))) + C2*exp(x*(sqrt(21090) + 146)))"
109,"Eq(4*f(x) - 497*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(497 - sqrt(246993))/2) + C2*exp(x*(sqrt(246993) + 497)/2))"
110,"Eq(161*f(x) - 43*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(43 - sqrt(1205))/2) + C2*exp(x*(sqrt(1205) + 43)/2))"
111,"Eq(397*f(x) - 935*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(935 - sqrt(872637))/2) + C2*exp(x*(sqrt(872637) + 935)/2))"
112,"Eq(55*f(x) - 686*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(343 - 3*sqrt(13066))) + C2*exp(x*(3*sqrt(13066) + 343)))"
113,"Eq(357*f(x) - 718*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(359 - 2*sqrt(32131))) + C2*exp(x*(2*sqrt(32131) + 359)))"
114,"Eq(137*f(x) - 432*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(216 - sqrt(46519))) + C2*exp(x*(sqrt(46519) + 216)))"
115,"Eq(163*f(x) - 409*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(409 - sqrt(166629))/2) + C2*exp(x*(sqrt(166629) + 409)/2))"
116,"Eq(168*f(x) - 142*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(71 - sqrt(4873))) + C2*exp(x*(sqrt(4873) + 71)))"
117,"Eq(32*f(x) - 550*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(275 - sqrt(75593))) + C2*exp(x*(sqrt(75593) + 275)))"
118,"Eq(397*f(x) - 877*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(877 - sqrt(767541))/2) + C2*exp(x*(sqrt(767541) + 877)/2))"
119,"Eq(149*f(x) - 508*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(254 - sqrt(64367))) + C2*exp(x*(sqrt(64367) + 254)))"
120,"Eq(286*f(x) - 745*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(745 - sqrt(553881))/2) + C2*exp(x*(sqrt(553881) + 745)/2))"
121,"Eq(186*f(x) - 947*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(947 - sqrt(896065))/2) + C2*exp(x*(sqrt(896065) + 947)/2))"
122,"Eq(387*f(x) - 329*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(329 - sqrt(106693))/2) + C2*exp(x*(sqrt(106693) + 329)/2))"
123,"Eq(347*f(x) - 810*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(405 - sqrt(163678))) + C2*exp(x*(sqrt(163678) + 405)))"
124,"Eq(225*f(x) - 861*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(3*x*(287 - 3*sqrt(9141))/2) + C2*exp(3*x*(3*sqrt(9141) + 287)/2))"
125,"Eq(387*f(x) - 383*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(383 - sqrt(145141))/2) + C2*exp(x*(sqrt(145141) + 383)/2))"
126,"Eq(97*f(x) - 679*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(679 - sqrt(460653))/2) + C2*exp(x*(sqrt(460653) + 679)/2))"
127,"Eq(231*f(x) - 41*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(41 - sqrt(757))/2) + C2*exp(x*(sqrt(757) + 41)/2))"
128,"Eq(386*f(x) - 809*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(809 - sqrt(652937))/2) + C2*exp(x*(sqrt(652937) + 809)/2))"
129,"Eq(17*f(x) - 657*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(657 - sqrt(431581))/2) + C2*exp(x*(sqrt(431581) + 657)/2))"
130,"Eq(355*f(x) - 416*Derivative(f(x), x) + Derivative(f(x), (x, 2)), 0)","Eq(f(x), C1*exp(x*(208 - sqrt(42909))) + C2*exp(x*(sqrt(42909) + 208)))"
